        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.00,        0.00

        1.01,        0.00

        1.01,        0.00

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.01,        0.01

        1.02,        0.01

        1.02,        0.01

        1.02,        0.01

        1.02,        0.01

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.02,        0.02

        1.03,        0.02

        1.03,        0.02

        1.03,        0.02

        1.03,        0.02

        1.03,        0.02

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.03,        0.03

        1.04,        0.03

        1.04,        0.03

        1.04,        0.03

        1.04,        0.03

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.04,        0.04

        1.05,        0.04

        1.05,        0.04

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.05

        1.05,        0.06

        1.05,        0.06

        1.05,        0.06

        1.05,        0.06

        1.06,        0.06

