        1.00,        0.49,        0.74,        0.35,        0.71,        0.19,        0.28,        0.84,        0.46,        0.64,        0.24,        0.85,        0.76,        0.60,        0.24,        0.41,        0.23,        0.88,        0.72,        0.20,        0.73,        0.77,        0.22,        0.12,        0.29,        0.41,        0.25,        0.70,        0.20,        0.27,        0.51,        0.36,        0.37,        0.94,        0.44,        0.07,        0.99,        0.49,        0.25,        0.96,        0.81,        0.72,        0.93,        0.02,        0.60,        0.05,        0.71,        0.06,        0.50,        0.88,        0.92,        0.93,        0.49,        0.02,        0.77,        0.57,        0.25,        0.38,        0.45,        0.59,        0.26,        0.55,        0.36,        0.63,        0.00

        1.00,        0.60,        0.48,        0.16,        0.36,        0.49,        0.54,        0.19,        0.50,        0.44,        1.00,        0.93,        0.17,        0.58,        0.12,        0.50,        0.42,        0.61,        0.69,        0.83,        0.34,        0.43,        0.25,        0.18,        0.91,        0.86,        0.84,        0.94,        0.30,        0.62,        0.02,        0.05,        0.28,        0.38,        0.66,        0.81,        0.27,        0.55,        0.20,        0.24,        0.56,        0.01,        0.45,        0.78,        0.21,        0.79,        0.83,        0.39,        0.88,        0.77,        0.67,        0.17,        0.78,        0.43,        0.44,        0.78,        0.66,        0.67,        0.51,        0.36,        0.93,        0.57,        0.37,        0.33,        0.00

        1.00,        0.09,        0.66,        0.02,        0.72,        0.84,        0.21,        0.93,        0.22,        0.49,        0.72,        0.54,        1.00,        0.72,        0.66,        0.74,        0.07,        0.77,        0.85,        0.76,        0.51,        0.85,        0.95,        0.87,        0.99,        0.90,        0.04,        0.29,        0.99,        0.28,        0.99,        0.08,        0.28,        0.44,        0.48,        0.21,        0.14,        0.83,        0.41,        0.55,        0.00,        0.18,        0.22,        0.15,        0.75,        0.43,        0.65,        0.58,        0.66,        0.98,        0.11,        0.99,        0.59,        0.94,        0.31,        0.70,        0.60,        0.98,        0.95,        0.63,        0.14,        0.20,        0.31,        0.21,        0.00

        1.00,        0.19,        0.44,        0.09,        0.18,        0.05,        0.01,        0.03,        0.63,        0.02,        0.61,        0.05,        0.33,        0.56,        0.52,        0.08,        0.48,        0.51,        0.89,        0.37,        0.04,        0.58,        0.16,        0.69,        0.77,        0.20,        0.99,        0.03,        0.61,        0.51,        0.86,        0.48,        0.85,        0.90,        0.35,        0.95,        0.54,        0.45,        0.07,        0.27,        0.54,        0.92,        0.70,        0.18,        0.75,        0.50,        0.10,        0.54,        0.84,        0.23,        0.30,        0.60,        0.64,        0.26,        0.52,        0.50,        0.28,        0.56,        0.71,        0.71,        0.13,        0.44,        0.35,        0.54,        0.00

        1.00,        0.58,        0.69,        0.09,        0.57,        0.49,        0.67,        0.10,        0.41,        0.30,        0.92,        0.92,        0.10,        0.90,        0.60,        0.75,        0.92,        0.07,        0.80,        0.43,        0.50,        0.90,        0.61,        0.02,        0.95,        0.77,        0.03,        0.33,        0.29,        0.33,        0.86,        0.21,        0.51,        0.06,        0.54,        0.62,        0.40,        0.82,        0.82,        0.68,        0.48,        0.10,        0.73,        0.50,        0.68,        0.91,        0.63,        0.40,        0.81,        0.54,        0.26,        0.99,        0.11,        0.26,        0.28,        0.98,        0.16,        0.03,        0.73,        0.13,        0.06,        0.44,        0.01,        0.12,        0.00

